Actor,Message Eval Catagory,Current Time,Transit Time,trust score,reputation,distrust score,certainty,relative factor of certainty,expected message count,unexpected message count,total message count,time stamp,registration date,communication frequency,message transit time,average transit time,time since last communication,timeout count,alert count,other action count,SD transit time,Max CommFreq,Min TSLC,DTM response
DERAS,Ex,1629397915.096551,0.41,0.009035647590885229,0,0.0,0.000628135001063787,1.0,15,0,15,1629397915.096551,1629393715.096362,0.0035714284108609644,0.41,0.18768432141675986,300.00001287460327,0,0,0,0.04012480268383722,1,100.0,Communication rate is low fromDERAS
DTM,Ex,1629397915.096554,0.19,0.009035647598066118,0,0.0,0.0006281350005289332,1.0,15,0,15,1629397915.096554,1629393715.096365,0.0035714284106582272,0.19,0.17454664318597726,300.00001311302185,0,0,0,0.0534729791205181,1,100.0,Communication rate is low fromDTM
DER,Ex,1629398215.096558,0.33,0.010050159923456845,0,0.0,0.0006526470901527447,1.0,16,0,16,1629398215.096558,1629393715.096317,0.0035555553651032724,0.33,0.2454595333028024,300.00001311302185,0,0,0,0.05965801846906705,1,100.0,Communication rate is low fromDER
DCM,Ex,1629398215.096561,0.43,0.010050160003898845,0,0.0,0.0006526470960656656,1.0,16,0,16,1629398215.096561,1629393715.096357,0.003555555394490567,0.43,0.18968349409940516,300.00001287460327,0,0,0,0.03695696828779351,1,100.0,Communication rate is low fromDCM
DERAS,Ex,1629398215.096565,0.38,0.010050160017020592,0,0.0,0.0006526470936105931,1.0,16,0,16,1629398215.096565,1629393715.096362,0.0035555553952440876,0.38,0.190689253894623,300.00001406669617,0,0,0,0.04320664558544091,1,100.0,Communication rate is low fromDERAS
DTM,Ex,1629398215.096568,0.36,0.01005016000846293,0,0.0,0.0006526470935760148,1.0,16,0,16,1629398215.096568,1629393715.096365,0.0035555553950557075,0.36,0.17739977175234684,300.00001406669617,0,0,0,0.04157759374412547,1,100.0,Communication rate is low fromDTM
DER,Ex,1629398515.096571,0.37,0.011095000532596658,0,0.0,0.0006759684183485318,1.0,17,0,17,1629398515.096571,1629393715.096317,0.0035416664793156186,0.37,0.24734651007094177,300.00001287460327,0,0,0,0.055645379570852846,1,100.0,Communication rate is low fromDER
DCM,Ex,1629398515.096574,0.29,0.011095000633116315,0,0.0,0.000675968423015556,1.0,17,0,17,1629398515.096574,1629393715.096357,0.0035416665065826714,0.29,0.1911807553815036,300.00001311302185,0,0,0,0.0495569719081179,1,100.0,Communication rate is low fromDCM
DERAS,Ex,1629398515.096578,0.38,0.011095000591380083,0,0.0,0.000675968423720646,1.0,17,0,17,1629398515.096578,1629393715.096362,0.003541666507462254,0.38,0.19347323545499617,300.00001287460327,0,0,0,0.04259057984538907,1,100.0,Communication rate is low fromDERAS
DTM,Ex,1629398515.096581,0.31,0.011095000590792251,0,0.0,0.0006759684236870701,1.0,17,0,17,1629398515.096581,1629393715.096365,0.0035416665072863372,0.31,0.17932151419071862,300.00001287460327,0,0,0,0.04508414411408082,1,100.0,Communication rate is low fromDTM
DER,Ex,1629398815.096584,0.26,0.012167431530273573,0,0.0,0.0006981532744109951,1.0,18,0,18,1629398815.096584,1629393715.096317,0.003529411579910869,0.26,0.2475272742127855,300.00001311302185,0,0,0,0.05949514251652239,1,100.0,Communication rate is low fromDER
DCM,Ex,1629398815.096587,0.44,0.012167431614280006,0,0.0,0.0006981532800573319,1.0,18,0,18,1629398815.096587,1629393715.096357,0.003529411605650173,0.44,0.194685251784581,300.00001287460327,0,0,0,0.03488855402818739,1,100.0,Communication rate is low fromDCM
DERAS,Ex,1629398815.096591,0.41,0.012167431626971629,0,0.0,0.0006981532796330408,1.0,18,0,18,1629398815.096591,1629393715.096362,0.0035294116063101554,0.41,0.19648055162923234,300.00001311302185,0,0,0,0.03894824629760478,1,100.0,Communication rate is low fromDERAS
DTM,Ex,1629398815.096594,0.39,0.012167431626367263,0,0.0,0.0006981532796004029,1.0,18,0,18,1629398815.096594,1629393715.096365,0.0035294116061451598,0.39,0.1822075208456403,300.00001311302185,0,0,0,0.037275794830936376,1,100.0,Communication rate is low fromDTM
DER,Ex,1629399115.096597,0.38,0.013264912213808907,0,0.0,0.0007192542870588353,1.0,19,0,19,1629399115.096597,1629393715.096317,0.003518518336139762,0.38,0.24931744618288298,300.00001287460327,0,0,0,0.05220846128659862,1,100.0,Communication rate is low fromDER
DCM,Ex,1629399115.096601,0.42,0.013264912321089306,0,0.0,0.0007192542889959644,1.0,19,0,19,1629399115.096601,1629393715.096357,0.003518518359597335,0.42,0.19768944842745326,300.00001406669617,0,0,0,0.03731843508222417,1,100.0,Communication rate is low fromDCM
DERAS,Ex,1629399115.096604,0.36,0.013264912313027774,0,0.0,0.0007192542915364619,1.0,19,0,19,1629399115.096604,1629393715.096362,0.0035185183608401204,0.36,0.19863212331832136,300.00001311302185,0,0,0,0.04316868029869881,1,100.0,Communication rate is low fromDERAS
DTM,Ex,1629399115.096608,0.19,0.013264912312407656,0,0.0,0.0007192542896946013,1.0,19,0,19,1629399115.096608,1629393715.096365,0.0035185183602187277,0.19,0.182308721873619,300.0000138282776,0,0,0,0.04877825103604478,1,100.0,Communication rate is low fromDTM
DER,Ex,1629399415.096611,0.36,0.014385085741176706,0,0.0,0.0007393222182318964,1.0,20,0,20,1629399415.096611,1629393715.096317,0.003508771748864209,0.36,0.25073645328310246,300.00001406669617,0,0,0,0.05233393449871802,1,100.0,Communication rate is low fromDER
DCM,Ex,1629399415.096614,0.41,0.014385085779919288,0,0.0,0.0007393222259938797,1.0,20,0,20,1629399415.096614,1629393715.096357,0.003508771771759435,0.41,0.2003769237638146,300.00001287460327,0,0,0,0.03811749675960965,1,100.0,Communication rate is low fromDCM
DERAS,Ex,1629399415.096618,0.34,0.014385085830729238,0,0.0,0.0007393222237673346,1.0,20,0,20,1629399415.096618,1629393715.096362,0.003508771772346492,0.34,0.20039922177684236,300.0000138282776,0,0,0,0.043912188513716754,1,100.0,Communication rate is low fromDERAS
DTM,Ex,1629399415.096622,0.23,0.014385085793892027,0,0.0,0.0007393222230251528,1.0,20,0,20,1629399415.096622,1629393715.096365,0.0035087717716126704,0.23,0.1828975030850558,300.00001406669617,0,0,0,0.046358455150596334,1,100.0,Communication rate is low fromDTM
DER,Ex,1629399715.096626,0.25,0.015525766582869823,0,0.0,0.0007584058823418264,1.0,21,0,21,1629399715.096626,1629393715.096317,0.0034999998197555635,0.25,0.25072747214550367,300.0000150203705,0,0,0,0.055656750665534035,1,100.0,Communication rate is low fromDER
DCM,Ex,1629399715.096629,0.29,0.015525766745871474,0,0.0,0.0007584058870430956,1.0,21,0,21,1629399715.096629,1629393715.096357,0.003499999841451652,0.29,0.20145671986304575,300.0000150203705,0,0,0,0.046258292302708594,1,100.0,Communication rate is low fromDCM
DERAS,Ex,1629399715.096633,0.4,0.015525766699114025,0,0.0,0.000758405887163641,1.0,21,0,21,1629399715.096633,1629393715.096362,0.0034999998420079622,0.4,0.20277542151759423,300.0000150203705,0,0,0,0.03848565845045964,1,100.0,Communication rate is low fromDERAS
